Stop Number,Total Routes,Description,Route 1,Route 2,Route 3,Route 4,Route 5,Route 6,Route 7,Route 8,Route 9,Route 10,Route 11,Route 12,Route 13
17012,2,Blanken Ave & Tunnel Ave,56,56
13692,2,Blanken Ave & Tunnel Ave,56,56
13695,0,Bosworth St & Diamond St
13696,0,Bosworth St & Diamond St
13694,1,Bosworth St & Elk St,44
13697,1,Bosworth St & Elk St,44
13698,1,Bosworth St & Lippard Ave,44
13699,1,Bosworth St & Lippard Ave,44
13700,1,Bosworth St & Marsily St,23
13701,1,Bosworth St & Milton St,23
13702,1,Bosworth St & Milton St,23
13703,0,Bosworth St & Mission St
13704,1,Bosworth St & Rotteck St,23
13706,0,Bowley St & Lincoln Blvd
13708,1,Bradford St & Bernal Heights Blvd,67
13709,1,Bradford St & Bernal Heights Blvd,67
13710,1,Bradford St & Esmeralda Ave,67
13758,1,Brazil Ave & Athens St,52
13759,1,Brazil Ave & Athens St,52
13760,1,Brazil Ave & Madrid St,52
13761,1,Brazil Ave & Mission St,52
13762,1,Brazil Ave & Moscow St,52
13763,1,Brazil Ave & Moscow St,52
13764,1,Brazil Ave & Munich St,52
13765,1,Brazil Ave & Naples St,52
13766,1,Brazil Ave & Paris St,52
13767,1,Brazil Ave & Prague St,52
17248,1,Brazil Ave & Prague St,52
13721,1,Bridge View Dr & Scotia Ave,54
13722,1,Bridge View Dr & Topeka Ave,54
13716,1,Broad St & Capitol Ave,M
13715,3,Broad St & Capitol Ave,M,M,M
13717,3,Broad St & Orizaba Ave,M,M,M
13718,0,Broad St & Plymouth Ave
13719,0,Broad St & Plymouth Ave
13082,2,Broadway & Columbus Ave,12,12
17185,1,Broadway & Grant Ave,8AX
13084,2,Broadway & Montgomery St,12,12
17862,2,Broadway & Sansome St,12,12
13085,1,Broadway & Steiner St,22
13086,2,Broadway & Steiner St,22,22
13087,2,Broadway & Stockton St,12,12
13072,2,Broderick St & Bay St,30,30
13074,2,Broderick St & Beach St,30,30
